"qudtUri","qudtLabel","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription"
"http://qudt.org/vocab/unit/M3-PER-SEC2","Cubic Meter per Square Second","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-2D0",1,NA,"$\textit{Cubic Meter per Square Second}$ is a C.G.S System unit for  $\textit{Standard Gravitational Parameter}$ expressed as $m^3/s^2$"
"http://qudt.org/vocab/unit/M3-PER-YR","Cubic Meter per Year","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",3.168808781e-08,"power of the SI base unit metre with the exponent 3 divided by the unit year",NA
"http://qudt.org/vocab/unit/M4","Quartic Meter","http://qudt.org/vocab/dimensionvector/A0E0L4I0M0H0T0D0",1,"A unit associated with area moments of inertia.",NA
"http://qudt.org/vocab/unit/M4-PER-SEC","Quartic Meter per Second","http://qudt.org/vocab/dimensionvector/A0E0L4I0M0H0T-1D0",1,NA,NA
"http://qudt.org/vocab/unit/M5","Quintic Meter","http://qudt.org/vocab/dimensionvector/A0E0L5I0M0H0T0D0",1,NA,NA
"http://qudt.org/vocab/unit/M6","Sextic Meter","http://qudt.org/vocab/dimensionvector/A0E0L6I0M0H0T0D0",1,NA,NA
"http://qudt.org/vocab/unit/MACH","Mach","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0,NA,"""Mach"" is a unit for speed as a multiple of the ambient speed of sound, expressed as $mach$."
"http://qudt.org/vocab/unit/MebiBIT","Mebibit","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",726817.498002825,"1,048,576-fold of the unit bit",NA
"http://qudt.org/vocab/unit/MebiBIT-PER-M","Mebibit per Meter","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T0D0",726817.498002825,"1,048,576-fold of the unit bit divided by the SI base unit metre",NA
"http://qudt.org/vocab/unit/MebiBIT-PER-M2","Mebibit per Square Meter","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T0D0",726817.498002825,"1,048,576-fold of the unit bit divided by the power of the SI base unit metre with the exponent 2",NA
"http://qudt.org/vocab/unit/MebiBIT-PER-M3","Mebibit per Cubic Meter","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M0H0T0D0",726817.498002825,"1,048,576-fold of the unit bit divided by the power of the SI base unit metre with the exponent 3",NA
"http://qudt.org/vocab/unit/MebiBYTE","Mebibyte","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",5814539.9840226,NA,"The mebibyte is a multiple of the unit byte for digital information equivalent to $1024^{2} bytes$ or $2^{20} bytes$."
"http://qudt.org/vocab/unit/MegaA","Megaampere","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T0D0",1e+06,"1 000 000-fold of the SI base unit ampere",NA
"http://qudt.org/vocab/unit/MegaA-PER-M2","Megaampere per Square Meter","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H0T0D0",1e+06,"1,000,000-fold of the SI base unit ampere divided by the power of the SI base unit metre with the exponent 2",NA
"http://qudt.org/vocab/unit/MegaBAR","Megabar","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1e+11,NA,"The bar is a non-SI unit of pressure, defined by the IUPAC as exactly equal to 100,000 Pa. It is about equal to the atmospheric pressure on Earth at sea level, and since 1982 the IUPAC has recommended that the standard for atmospheric pressure should be harmonized to $100,000 Pa = 1 bar \approx 750.0616827 Torr$. Units derived from the bar are the megabar (symbol: Mbar), kilobar (symbol: kbar), decibar (symbol: dbar), centibar (symbol: cbar), and millibar (symbol: mbar or mb). They are not SI or cgs units, but they are accepted for use with the SI."
"http://qudt.org/vocab/unit/MegaBAUD","Megabaud","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e+06,"1,000,000-fold of the unit baud for the symbol rate in communications engineering and telecommunication",NA
"http://qudt.org/vocab/unit/MegaBIT","Megabit","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",693147.180559945,"1,000,000-fold of the unit bit",NA
"http://qudt.org/vocab/unit/MegaBIT-PER-SEC","Megabit per Second","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",693147.180559945,"A megabit per second (Mbit/s or Mb/s; not to be confused with mbit/s which means millibit per second, or with Mbitps which means megabit picosecond) is a unit of data transfer rate equal to 1,000,000 bits per second or 1,000 kilobits per second or 125,000 bytes per second or 125 kilobytes per second.",NA
