"qudtUri","ucumCode"
"http://qudt.org/vocab/unit/CAL_IT-PER-GM-K","cal_IT.g-1.K-1"
"http://qudt.org/vocab/unit/CAL_IT-PER-SEC-CentiM-K","cal_IT.s-1.cm-1.K-1"
"http://qudt.org/vocab/unit/CAL_IT-PER-SEC-CentiM2-K","cal_IT.s-1.cm-2.K-1"
"http://qudt.org/vocab/unit/CAL_MEAN","cal_m"
"http://qudt.org/vocab/unit/CAL_TH","cal_th"
"http://qudt.org/vocab/unit/CAL_TH-PER-CentiM-SEC-DEG_C","cal_th.cm-1.s-1.Cel-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-CentiM2","cal_th.cm-2"
"http://qudt.org/vocab/unit/CAL_TH-PER-CentiM2-MIN","cal_th.cm-2.min-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-CentiM2-SEC","cal_th.cm-2.s-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-CentiM3-K","cal_th.cm-3.K-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-GM","cal_th.g-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-GM-DEG_C","cal_th.g-1.Cel-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-GM-K","cal_th.g-1.K-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-MIN","cal_th.min-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-SEC","cal_th.s-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-SEC-CentiM-K","cal_th.s-1.cm-1.K-1"
"http://qudt.org/vocab/unit/CAL_TH-PER-SEC-CentiM2-K","cal_th.s-1.cm-2.K-1"
"http://qudt.org/vocab/unit/CARAT","[car_m]"
"http://qudt.org/vocab/unit/CASES",NA
"http://qudt.org/vocab/unit/CASES-PER-KiloINDIV-YR",NA
"http://qudt.org/vocab/unit/CCY_AED",NA
"http://qudt.org/vocab/unit/CCY_AFN",NA
"http://qudt.org/vocab/unit/CCY_ALL",NA
"http://qudt.org/vocab/unit/CCY_AMD",NA
"http://qudt.org/vocab/unit/CCY_ANG",NA
"http://qudt.org/vocab/unit/CCY_AOA",NA
"http://qudt.org/vocab/unit/CCY_ARS",NA
"http://qudt.org/vocab/unit/CCY_AUD",NA
"http://qudt.org/vocab/unit/CCY_AWG",NA
"http://qudt.org/vocab/unit/CCY_AZN",NA
"http://qudt.org/vocab/unit/CCY_BAM",NA
"http://qudt.org/vocab/unit/CCY_BBD",NA
"http://qudt.org/vocab/unit/CCY_BDT",NA
"http://qudt.org/vocab/unit/CCY_BGN",NA
"http://qudt.org/vocab/unit/CCY_BGN-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_BHD",NA
"http://qudt.org/vocab/unit/CCY_BIF",NA
"http://qudt.org/vocab/unit/CCY_BMD",NA
"http://qudt.org/vocab/unit/CCY_BND",NA
"http://qudt.org/vocab/unit/CCY_BOB",NA
"http://qudt.org/vocab/unit/CCY_BOV",NA
