"unit","ucumCode","qudtUnit","qudtUri"
"[Btu_IT]/([lbf_av].[degF])","[Btu_IT]/([lbf_av].[degF])","BTU_IT-PER-LB_F-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_F"
"[Btu_IT]/([lbf_av].[degR])","[Btu_IT]/([lbf_av].[degR])","BTU_IT-PER-LB_F-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_R"
"[Btu_IT]/([lbf_av].[degR])","[Btu_IT].[lbf_av]-1.[degR]-1","BTU_IT-PER-LB_F-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_R"
"[Btu_IT].[lbf_av]-1.[degR]-1","[Btu_IT]/([lbf_av].[degR])","BTU_IT-PER-LB_F-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_R"
"[Btu_IT].[lbf_av]-1.[degR]-1","[Btu_IT].[lbf_av]-1.[degR]-1","BTU_IT-PER-LB_F-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_R"
"[Btu_IT].min-1","[Btu_IT]/min","BTU_IT-PER-MIN","http://qudt.org/vocab/unit/BTU_IT-PER-MIN"
"[Btu_IT].min-1","[Btu_IT].min-1","BTU_IT-PER-MIN","http://qudt.org/vocab/unit/BTU_IT-PER-MIN"
"[Btu_IT]/min","[Btu_IT]/min","BTU_IT-PER-MIN","http://qudt.org/vocab/unit/BTU_IT-PER-MIN"
"[Btu_IT]/min","[Btu_IT].min-1","BTU_IT-PER-MIN","http://qudt.org/vocab/unit/BTU_IT-PER-MIN"
"[Btu_IT]/(mol.[degF])","[Btu_IT]/(mol.[degF])","BTU_IT-PER-MOL-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-MOL-DEG_F"
"[Btu_IT]/(mol.[degF])","[Btu_IT].mol-1.[degF]-1","BTU_IT-PER-MOL-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-MOL-DEG_F"
"[Btu_IT].mol-1.[degF]-1","[Btu_IT]/(mol.[degF])","BTU_IT-PER-MOL-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-MOL-DEG_F"
"[Btu_IT].mol-1.[degF]-1","[Btu_IT].mol-1.[degF]-1","BTU_IT-PER-MOL-DEG_F","http://qudt.org/vocab/unit/BTU_IT-PER-MOL-DEG_F"
"[Btu_IT]/s","[Btu_IT].s-1","BTU_IT-PER-SEC","http://qudt.org/vocab/unit/BTU_IT-PER-SEC"
"[Btu_IT]/s","[Btu_IT]/s","BTU_IT-PER-SEC","http://qudt.org/vocab/unit/BTU_IT-PER-SEC"
"[Btu_IT].s-1","[Btu_IT].s-1","BTU_IT-PER-SEC","http://qudt.org/vocab/unit/BTU_IT-PER-SEC"
"[Btu_IT].s-1","[Btu_IT]/s","BTU_IT-PER-SEC","http://qudt.org/vocab/unit/BTU_IT-PER-SEC"
"[Btu_IT]/(s.[ft_i].[degR])","[Btu_IT].s-1.[ft_i]-1.[degR]-1","BTU_IT-PER-SEC-FT-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT-DEG_R"
"[Btu_IT]/(s.[ft_i].[degR])","[Btu_IT]/(s.[ft_i].[degR])","BTU_IT-PER-SEC-FT-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT-DEG_R"
"[Btu_IT].s-1.[ft_i]-1.[degR]-1","[Btu_IT].s-1.[ft_i]-1.[degR]-1","BTU_IT-PER-SEC-FT-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT-DEG_R"
"[Btu_IT].s-1.[ft_i]-1.[degR]-1","[Btu_IT]/(s.[ft_i].[degR])","BTU_IT-PER-SEC-FT-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT-DEG_R"
"[Btu_IT].s-1.[ft_i]-2","[Btu_IT].s-1.[ft_i]-2","BTU_IT-PER-SEC-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2"
"[Btu_IT].s-1.[ft_i]-2","[Btu_IT]/(s.[ft_i]2)","BTU_IT-PER-SEC-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2"
"[Btu_IT]/(s.[ft_i]2)","[Btu_IT].s-1.[ft_i]-2","BTU_IT-PER-SEC-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2"
"[Btu_IT]/(s.[ft_i]2)","[Btu_IT]/(s.[ft_i]2)","BTU_IT-PER-SEC-FT2","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2"
"[Btu_IT].s-1.[ft_i]-2.[degR]-1","[Btu_IT]/(s.[ft_i]2.[degR])","BTU_IT-PER-SEC-FT2-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2-DEG_R"
"[Btu_IT].s-1.[ft_i]-2.[degR]-1","[Btu_IT].s-1.[ft_i]-2.[degR]-1","BTU_IT-PER-SEC-FT2-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2-DEG_R"
"[Btu_IT]/(s.[ft_i]2.[degR])","[Btu_IT]/(s.[ft_i]2.[degR])","BTU_IT-PER-SEC-FT2-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2-DEG_R"
"[Btu_IT]/(s.[ft_i]2.[degR])","[Btu_IT].s-1.[ft_i]-2.[degR]-1","BTU_IT-PER-SEC-FT2-DEG_R","http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2-DEG_R"
"[Btu_m]","[Btu_m]","BTU_MEAN","http://qudt.org/vocab/unit/BTU_MEAN"
"[Btu_th]","[Btu_th]","BTU_TH","http://qudt.org/vocab/unit/BTU_TH"
"[Btu_IT].[ft_i]-2.h-1.[degF]-1","[Btu_IT].[ft_i]-2.h-1.[degF]-1","BTU_TH-FT-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_TH-FT-PER-FT2-HR-DEG_F"
"[Btu_IT].[ft_i]-2.h-1.[degF]-1","[Btu_IT]/([ft_i]2.h.[degF])","BTU_TH-FT-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_TH-FT-PER-FT2-HR-DEG_F"
"[Btu_IT]/([ft_i]2.h.[degF])","[Btu_IT].[ft_i]-2.h-1.[degF]-1","BTU_TH-FT-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_TH-FT-PER-FT2-HR-DEG_F"
"[Btu_IT]/([ft_i]2.h.[degF])","[Btu_IT]/([ft_i]2.h.[degF])","BTU_TH-FT-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_TH-FT-PER-FT2-HR-DEG_F"
"[Btu_th].[ft_i].h-1.[ft_i]-2.[degF]-1","[Btu_th].[ft_i].h-1.[ft_i]-2.[degF]-1","BTU_TH-FT-PER-HR-FT2-DEG_F","http://qudt.org/vocab/unit/BTU_TH-FT-PER-HR-FT2-DEG_F"
"[Btu_th].[ft_i].h-1.[ft_i]-2.[degF]-1","[Btu_th].[ft_i]/(h.[ft_i]2.[degF])","BTU_TH-FT-PER-HR-FT2-DEG_F","http://qudt.org/vocab/unit/BTU_TH-FT-PER-HR-FT2-DEG_F"
"[Btu_th].[ft_i]/(h.[ft_i]2.[degF])","[Btu_th].[ft_i].h-1.[ft_i]-2.[degF]-1","BTU_TH-FT-PER-HR-FT2-DEG_F","http://qudt.org/vocab/unit/BTU_TH-FT-PER-HR-FT2-DEG_F"
"[Btu_th].[ft_i]/(h.[ft_i]2.[degF])","[Btu_th].[ft_i]/(h.[ft_i]2.[degF])","BTU_TH-FT-PER-HR-FT2-DEG_F","http://qudt.org/vocab/unit/BTU_TH-FT-PER-HR-FT2-DEG_F"
"[Btu_th].[in_i]/([ft_i]2.h.[degF])","[Btu_th].[in_i].[ft_i]-2.h-1.[degF]-1","BTU_TH-IN-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-HR-DEG_F"
"[Btu_th].[in_i]/([ft_i]2.h.[degF])","[Btu_th].[in_i]/([ft_i]2.h.[degF])","BTU_TH-IN-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-HR-DEG_F"
"[Btu_th].[in_i].[ft_i]-2.h-1.[degF]-1","[Btu_th].[in_i].[ft_i]-2.h-1.[degF]-1","BTU_TH-IN-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-HR-DEG_F"
"[Btu_th].[in_i].[ft_i]-2.h-1.[degF]-1","[Btu_th].[in_i]/([ft_i]2.h.[degF])","BTU_TH-IN-PER-FT2-HR-DEG_F","http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-HR-DEG_F"
"[Btu_th].[in_i]/([ft_i]2.s.[degF])","[Btu_th].[in_i].[ft_i]-2.s-1.[degF]-1","BTU_TH-IN-PER-FT2-SEC-DEG_F","http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-SEC-DEG_F"
"[Btu_th].[in_i]/([ft_i]2.s.[degF])","[Btu_th].[in_i]/([ft_i]2.s.[degF])","BTU_TH-IN-PER-FT2-SEC-DEG_F","http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-SEC-DEG_F"
"[Btu_th].[in_i].[ft_i]-2.s-1.[degF]-1","[Btu_th].[in_i].[ft_i]-2.s-1.[degF]-1","BTU_TH-IN-PER-FT2-SEC-DEG_F","http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-SEC-DEG_F"
"[Btu_th].[in_i].[ft_i]-2.s-1.[degF]-1","[Btu_th].[in_i]/([ft_i]2.s.[degF])","BTU_TH-IN-PER-FT2-SEC-DEG_F","http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-SEC-DEG_F"
"[Btu_th]/[ft_i]3","[Btu_th]/[ft_i]3","BTU_TH-PER-FT3","http://qudt.org/vocab/unit/BTU_TH-PER-FT3"
"[Btu_th]/[ft_i]3","[Btu_th].[ft_i]-3","BTU_TH-PER-FT3","http://qudt.org/vocab/unit/BTU_TH-PER-FT3"
"[Btu_th].[ft_i]-3","[Btu_th]/[ft_i]3","BTU_TH-PER-FT3","http://qudt.org/vocab/unit/BTU_TH-PER-FT3"
"[Btu_th].[ft_i]-3","[Btu_th].[ft_i]-3","BTU_TH-PER-FT3","http://qudt.org/vocab/unit/BTU_TH-PER-FT3"
"[Btu_th].h-1","[Btu_th].h-1","BTU_TH-PER-HR","http://qudt.org/vocab/unit/BTU_TH-PER-HR"
"[Btu_th].h-1","[Btu_th]/h","BTU_TH-PER-HR","http://qudt.org/vocab/unit/BTU_TH-PER-HR"
"[Btu_th]/h","[Btu_th].h-1","BTU_TH-PER-HR","http://qudt.org/vocab/unit/BTU_TH-PER-HR"
"[Btu_th]/h","[Btu_th]/h","BTU_TH-PER-HR","http://qudt.org/vocab/unit/BTU_TH-PER-HR"
"[Btu_th]/[lb_av]","[Btu_th]/[lb_av]","BTU_TH-PER-LB","http://qudt.org/vocab/unit/BTU_TH-PER-LB"
"[Btu_th]/[lb_av]","[Btu_th].[lb_av]-1","BTU_TH-PER-LB","http://qudt.org/vocab/unit/BTU_TH-PER-LB"
"[Btu_th].[lb_av]-1","[Btu_th]/[lb_av]","BTU_TH-PER-LB","http://qudt.org/vocab/unit/BTU_TH-PER-LB"
"[Btu_th].[lb_av]-1","[Btu_th].[lb_av]-1","BTU_TH-PER-LB","http://qudt.org/vocab/unit/BTU_TH-PER-LB"
"[Btu_th].[lb_av]-1.[degF]-1","[Btu_th].[lb_av]-1.[degF]-1","BTU_TH-PER-LB-DEG_F","http://qudt.org/vocab/unit/BTU_TH-PER-LB-DEG_F"
"[Btu_th].[lb_av]-1.[degF]-1","[Btu_th]/([lb_av].[degF])","BTU_TH-PER-LB-DEG_F","http://qudt.org/vocab/unit/BTU_TH-PER-LB-DEG_F"
"[Btu_th]/([lb_av].[degF])","[Btu_th].[lb_av]-1.[degF]-1","BTU_TH-PER-LB-DEG_F","http://qudt.org/vocab/unit/BTU_TH-PER-LB-DEG_F"
"[Btu_th]/([lb_av].[degF])","[Btu_th]/([lb_av].[degF])","BTU_TH-PER-LB-DEG_F","http://qudt.org/vocab/unit/BTU_TH-PER-LB-DEG_F"
"[Btu_th]/min","[Btu_th].min-1","BTU_TH-PER-MIN","http://qudt.org/vocab/unit/BTU_TH-PER-MIN"
"[Btu_th]/min","[Btu_th]/min","BTU_TH-PER-MIN","http://qudt.org/vocab/unit/BTU_TH-PER-MIN"
"[Btu_th].min-1","[Btu_th].min-1","BTU_TH-PER-MIN","http://qudt.org/vocab/unit/BTU_TH-PER-MIN"
"[Btu_th].min-1","[Btu_th]/min","BTU_TH-PER-MIN","http://qudt.org/vocab/unit/BTU_TH-PER-MIN"
"[Btu_th]/s","[Btu_th].s-1","BTU_TH-PER-SEC","http://qudt.org/vocab/unit/BTU_TH-PER-SEC"
"[Btu_th]/s","[Btu_th]/s","BTU_TH-PER-SEC","http://qudt.org/vocab/unit/BTU_TH-PER-SEC"
"[Btu_th].s-1","[Btu_th].s-1","BTU_TH-PER-SEC","http://qudt.org/vocab/unit/BTU_TH-PER-SEC"
"[Btu_th].s-1","[Btu_th]/s","BTU_TH-PER-SEC","http://qudt.org/vocab/unit/BTU_TH-PER-SEC"
"[bu_br]","[bu_br]","BU_UK","http://qudt.org/vocab/unit/BU_UK"
"[bu_br]/d","[bu_br]/d","BU_UK-PER-DAY","http://qudt.org/vocab/unit/BU_UK-PER-DAY"
"[bu_br]/d","[bu_br].d-1","BU_UK-PER-DAY","http://qudt.org/vocab/unit/BU_UK-PER-DAY"
"[bu_br].d-1","[bu_br]/d","BU_UK-PER-DAY","http://qudt.org/vocab/unit/BU_UK-PER-DAY"
"[bu_br].d-1","[bu_br].d-1","BU_UK-PER-DAY","http://qudt.org/vocab/unit/BU_UK-PER-DAY"
NA,NA,"BU_UK-PER-HR","http://qudt.org/vocab/unit/BU_UK-PER-HR"
"[bu_br].min-1","[bu_br].min-1","BU_UK-PER-MIN","http://qudt.org/vocab/unit/BU_UK-PER-MIN"
"[bu_br].min-1","[bu_br]/min","BU_UK-PER-MIN","http://qudt.org/vocab/unit/BU_UK-PER-MIN"
"[bu_br]/min","[bu_br].min-1","BU_UK-PER-MIN","http://qudt.org/vocab/unit/BU_UK-PER-MIN"
