"QK_EDI","QK_QUDT","dimVec","dimensionVector","s_EDI","s_QUDT"
"AreaPerAreaTime","TimeRelatedLogarithmicRatio","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/TimeRelatedLogarithmicRatio"
"AreaPerAreaTime","VideoFrameRate","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/VideoFrameRate"
"AreaPerAreaTime","Vorticity","A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AreaPerAreaTime","http://qudt.org/vocab/quantitykind/Vorticity"
"AreaPerCount","AngularCrossSection","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/AngularCrossSection"
"AreaPerCount","Area","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/Area"
"AreaPerCount","AreaAngle","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/AreaAngle"
"AreaPerCount","AtomicAttenuationCoefficient","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/AtomicAttenuationCoefficient"
"AreaPerCount","CartesianArea","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/CartesianArea"
"AreaPerCount","CrossSection","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/CrossSection"
"AreaPerCount","CrossSectionalArea","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/CrossSectionalArea"
"AreaPerCount","DiffusionArea","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/DiffusionArea"
"AreaPerCount","EquivalentAbsorptionArea","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/EquivalentAbsorptionArea"
"AreaPerCount","ExitPlaneCrossSectionalArea","A0E0L2I0M0H0T0D0","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0","http://qudt.org/vocab/quantitykind/AreaPerCount","http://qudt.org/vocab/quantitykind/ExitPlaneCrossSectionalArea"
